Sat Mar 25 18:48:32 UTC 2023,20.64
Sat Mar 25 18:49:01 UTC 2023,20.64
Sat Mar 25 18:50:01 UTC 2023,20.64
Sat Mar 25 18:50:13 UTC 2023,20.64
Sat Mar 25 18:51:01 UTC 2023,20.64
Sat Mar 25 18:52:01 UTC 2023,20.64
Sat Mar 25 18:53:01 UTC 2023,20.60
Sat Mar 25 18:54:01 UTC 2023,20.60
Sat Mar 25 18:55:02 UTC 2023,20.60
Sat Mar 25 18:56:01 UTC 2023,20.60
Sat Mar 25 18:57:01 UTC 2023,20.60
Sat Mar 25 18:58:01 UTC 2023,20.60
Sat Mar 25 18:59:02 UTC 2023,20.60
Sat Mar 25 19:00:01 UTC 2023,20.60
Sat Mar 25 19:01:01 UTC 2023,20.60
Sat Mar 25 19:02:01 UTC 2023,20.60
Sat Mar 25 19:03:02 UTC 2023,20.56
Sat Mar 25 19:04:01 UTC 2023,20.56
Sat Mar 25 19:05:01 UTC 2023,20.56
Sat Mar 25 19:06:02 UTC 2023,20.56
Sat Mar 25 19:07:01 UTC 2023,20.56
Sat Mar 25 19:08:01 UTC 2023,20.56
Sat Mar 25 19:09:01 UTC 2023,20.36
Sat Mar 25 19:10:02 UTC 2023,20.36
Sat Mar 25 19:11:01 UTC 2023,20.36
Sat Mar 25 19:12:01 UTC 2023,20.36
Sat Mar 25 19:13:01 UTC 2023,20.36
Sat Mar 25 19:14:02 UTC 2023,20.31
Sat Mar 25 19:15:01 UTC 2023,20.31
Sat Mar 25 19:16:01 UTC 2023,20.31
Sat Mar 25 19:17:01 UTC 2023,20.31
Sat Mar 25 19:18:01 UTC 2023,20.31
Sat Mar 25 19:19:01 UTC 2023,20.31
Sat Mar 25 19:20:01 UTC 2023,20.31
Sat Mar 25 19:21:02 UTC 2023,20.31
Sat Mar 25 19:22:01 UTC 2023,20.31
Sat Mar 25 19:23:01 UTC 2023,20.31
Sat Mar 25 19:24:01 UTC 2023,20.31
Sat Mar 25 19:25:01 UTC 2023,20.36
Sat Mar 25 19:26:02 UTC 2023,20.36
Sat Mar 25 19:27:01 UTC 2023,20.36
Sat Mar 25 19:28:01 UTC 2023,20.36
Sat Mar 25 19:29:01 UTC 2023,20.36
Sat Mar 25 19:30:02 UTC 2023,20.36
Sat Mar 25 19:31:01 UTC 2023,20.36
Sat Mar 25 19:32:01 UTC 2023,20.36
Sat Mar 25 19:33:02 UTC 2023,20.36
Sat Mar 25 19:34:01 UTC 2023,20.36
Sat Mar 25 19:35:01 UTC 2023,20.36
Sat Mar 25 19:36:01 UTC 2023,20.36
Sat Mar 25 19:37:02 UTC 2023,20.15
Sat Mar 25 19:38:01 UTC 2023,20.15
Sat Mar 25 19:39:01 UTC 2023,20.15
Sat Mar 25 19:40:01 UTC 2023,20.15
Sat Mar 25 19:41:02 UTC 2023,20.15
Sat Mar 25 19:42:01 UTC 2023,20.15
Sat Mar 25 19:43:01 UTC 2023,20.23
Sat Mar 25 19:44:02 UTC 2023,20.23
Sat Mar 25 19:45:01 UTC 2023,20.23
Sat Mar 25 19:46:01 UTC 2023,20.23
Sat Mar 25 19:47:01 UTC 2023,20.23
Sat Mar 25 19:48:01 UTC 2023,20.23
Sat Mar 25 19:49:02 UTC 2023,20.21
Sat Mar 25 19:50:02 UTC 2023,20.21
Sat Mar 25 19:51:01 UTC 2023,20.21
Sat Mar 25 19:52:01 UTC 2023,20.21
Sat Mar 25 19:53:01 UTC 2023,20.21
Sat Mar 25 19:54:02 UTC 2023,20.14
Sat Mar 25 19:55:01 UTC 2023,20.14
Sat Mar 25 19:56:01 UTC 2023,20.14
Sat Mar 25 19:57:03 UTC 2023,20.14
Sat Mar 25 19:58:02 UTC 2023,20.14
Sat Mar 25 19:59:01 UTC 2023,20.14
Sat Mar 25 20:00:01 UTC 2023,20.14
Sat Mar 25 20:01:01 UTC 2023,20.14
Sat Mar 25 20:02:01 UTC 2023,20.14
Sat Mar 25 20:03:01 UTC 2023,20.14
Sat Mar 25 20:04:01 UTC 2023,20.14
Sat Mar 25 20:05:02 UTC 2023,20.16
Sat Mar 25 20:06:01 UTC 2023,20.16
Sat Mar 25 20:07:02 UTC 2023,20.16
Sat Mar 25 20:08:01 UTC 2023,20.16
Sat Mar 25 20:09:01 UTC 2023,20.16
Sat Mar 25 20:10:01 UTC 2023,20.16
Sat Mar 25 20:11:01 UTC 2023,20.19
Sat Mar 25 20:12:02 UTC 2023,20.19
Sat Mar 25 20:13:01 UTC 2023,20.19
Sat Mar 25 20:14:01 UTC 2023,20.19
Sat Mar 25 20:15:02 UTC 2023,20.19
Sat Mar 25 20:16:01 UTC 2023,20.21
Sat Mar 25 20:17:01 UTC 2023,20.21
Sat Mar 25 20:18:01 UTC 2023,20.21
Sat Mar 25 20:19:02 UTC 2023,20.21
Sat Mar 25 20:20:01 UTC 2023,20.21
Sat Mar 25 20:21:01 UTC 2023,20.21
Sat Mar 25 20:22:01 UTC 2023,20.21
Sat Mar 25 20:23:02 UTC 2023,20.21
Sat Mar 25 20:24:01 UTC 2023,20.21
Sat Mar 25 20:25:01 UTC 2023,20.21
Sat Mar 25 20:26:01 UTC 2023,20.21
Sat Mar 25 20:27:02 UTC 2023,20.21
Sat Mar 25 20:28:01 UTC 2023,20.28
Sat Mar 25 20:29:02 UTC 2023,20.28
Sat Mar 25 20:30:02 UTC 2023,20.28
Sat Mar 25 20:31:01 UTC 2023,20.28
Sat Mar 25 20:32:01 UTC 2023,20.28
Sat Mar 25 20:33:03 UTC 2023,20.32
Sat Mar 25 20:34:02 UTC 2023,20.32
Sat Mar 25 20:35:02 UTC 2023,20.32
Sat Mar 25 20:36:02 UTC 2023,20.32
